Name,Code,Open,Close,High,Low
 EMERALD    ,538882,12.59,13.15,13.15,12.49
06AGG       ,542963,5.11,5.11,5.11,5.11
06ARD       ,542967,3.43,3.43,3.43,3.43
06GPG       ,542969,21.7,21.7,21.7,21.7
07GPG       ,543079,0.07,0.07,0.07,0.07
08GPG       ,543150,4.1,3.8,4.1,3.7
09AGG       ,543087,256.04,256.04,256.04,256.04
0ECL21      ,936963,1093.8,1143.0,1143.0,1093.8
0EFIL21     ,937079,1104.0,1103.85,1104.0,1096.0
0EFL22      ,936714,1189.89,1189.89,1189.89,1189.89
0EFL23      ,936248,1185.0,1185.0,1185.0,1185.0
0EFL24      ,936720,1149.86,1149.86,1149.86,1149.86
0JMFPL21AA  ,936698,1201.0,1201.0,1201.0,1201.0
0KFL21F     ,937275,1020.05,1020.05,1020.05,1020.05
0KFL22BB    ,936770,1130.0,1130.0,1130.0,1130.0
0KFL22E     ,937387,1005.0,1005.0,1005.0,1005.0
0KLM21A     ,937225,1072.0,1078.0,1078.0,1072.0
0LTFL24A    ,936570,1222.0,1222.0,1222.0,1222.0
0MFL23      ,936152,1294.0,1294.0,1294.0,1290.0
0MFL23AA    ,937033,1115.0,1155.0,1155.0,1115.0
0MFL23B     ,937257,1097.0,1097.0,1097.0,1097.0
0MFL23C     ,937303,1025.0,1032.0,1032.0,1025.0
0MFL23CC    ,937113,1140.0,1140.0,1140.0,1140.0
0MFL23D     ,937305,1058.0,1058.0,1058.0,1058.0
0MFL23E     ,937413,980.0,999.0,999.0,980.0
0MFL23VI    ,937445,1019.0,981.0,1019.0,965.0
0MFL24C     ,936942,1209.0,1209.0,1209.0,1209.0
0MFL25B     ,937115,1032.0,1120.0,1120.0,1032.0
0MFL26      ,936492,1410.1,1410.1,1410.1,1410.1
0MFL26A     ,936744,1299.0,1299.0,1299.0,1299.0
0MHIL22     ,936652,1215.0,1213.0,1215.0,1213.0
0MHIL26     ,936656,1245.0,1245.0,1245.0,1245.0
0MVAFL27    ,937169,1169.0,1169.0,1169.0,1169.0
0SCUF24A    ,936886,1150.3,1269.0,1269.0,1150.3
0SEFL21B    ,935900,535.01,535.01,535.01,535.01
0STFC2021   ,935142,2097.0,2097.0,2097.0,2097.0
0STFCL21F   ,936238,1275.0,1275.0,1275.0,1275.0
0STFCL23    ,936240,1296.0,1293.88,1296.0,1291.0
0STFCL24    ,936464,1255.0,1255.0,1255.0,1255.0
1004JMFPL24 ,936704,1030.0,1026.0,1030.0,1026.0
1013DLSL24  ,936758,955.0,955.43,958.0,955.0
1015EFL29   ,936398,991.0,990.0,991.0,989.99
1015UPPCL25 ,957807,1040000.0,1040000.0,1040000.0,1040000.0
1015UPPCL28 ,957810,1069500.0,1069500.0,1069500.0,1069500.0
1020EFL22   ,936388,1012.25,1001.13,1013.5,1001.13
1020JMFPL22 ,936700,1097.0,1098.01,1098.01,1097.0
1025EFIL25  ,937087,961.0,961.0,961.0,961.0
1025KFL26B  ,936991,985.0,985.0,985.0,985.0
1025KFSRVII ,936448,987.0,987.0,987.0,987.0
102IFL24    ,936474,1011.1,1038.5,1038.5,1011.1
1040DLSL22  ,936498,989.99,990.0,990.0,989.99
1040EFL24   ,936394,999.9,999.9,999.9,999.9
104ECL24    ,936971,982.5,982.5,982.5,982.5
104ECL29    ,936977,920.0,920.0,920.0,852.0
104EFL24    ,936718,1030.0,1035.0,1035.0,1030.0
104EFL29    ,936724,950.01,950.01,950.01,950.01
105MMFL25C  ,937331,1004.5,1004.5,1004.5,1004.5
105SEFL24   ,936430,345.8,345.8,345.8,345.8
1065MHFL24  ,936955,1112.5,1112.5,1112.5,1112.5
1075SEFL24  ,936670,550.0,550.0,550.0,550.0
1080KFIL25  ,973033,1015.93,1015.93,1015.93,1015.93
10EFIL23    ,937081,1000.0,1000.0,1000.0,1000.0
10EHFL26    ,935788,960.0,970.0,970.0,960.0
10GPG       ,543167,3.52,2.89,3.52,2.88
10JMFCSL22  ,936376,1050.01,1050.0,1050.01,1050.0
10MFL22A    ,936924,1150.05,1150.05,1150.05,1150.05
10MFL24A    ,936736,1140.0,1140.0,1140.0,1140.0
10MFL24AA   ,937029,1095.0,1095.0,1095.0,1095.0
10SEFL21    ,935898,400.0,399.85,400.0,399.8
11AGG       ,543181,12.25,12.35,12.9,12.25
11AMD       ,543182,0.18,0.18,0.18,0.18
