Name,Code,Open,Close,High,Low
 EMERALD    ,538882,13.69,14.16,14.16,12.55
06AGG       ,542963,4.6,4.14,4.99,4.14
06ARD       ,542967,4.14,4.14,4.14,4.14
06GPG       ,542969,26.25,26.25,26.25,26.25
07GPG       ,543079,0.09,0.09,0.09,0.09
08GPG       ,543150,4.53,4.53,4.53,3.73
09AGG       ,543087,207.4,207.4,207.4,207.4
0ECL21      ,936963,1120.0,1136.0,1136.0,1110.0
0EFIL21     ,937079,1104.9,1104.65,1107.99,1100.0
0EFL21A     ,936710,1175.0,1173.0,1175.2,1173.0
0EFSL24A    ,937493,940.0,929.0,940.0,929.0
0EFSL26B    ,937499,951.0,999.0,999.0,951.0
0JMFCSL21   ,936218,1294.0,1299.5,1299.5,1292.0
0JMFPL21AA  ,936698,1203.1,1203.1,1203.1,1203.1
0JMFPL22A   ,936702,1439.0,1204.0,1439.0,1204.0
0KFL22AA    ,936614,1215.0,1215.0,1215.0,1215.0
0LTFL22A    ,936516,1215.26,1215.25,1215.26,1215.25
0LTFL22BB   ,937001,1125.0,1125.0,1125.0,1125.0
0LTFL24A    ,936570,1240.0,1240.0,1240.0,1240.0
0MFL23A     ,936940,1126.0,1125.08,1126.0,1125.08
0MFL23C     ,937303,1020.0,1020.0,1020.0,1020.0
0MFL23E     ,937413,990.0,990.0,990.0,990.0
0MFL24C     ,936942,1206.0,1206.0,1206.0,1206.0
0MFL25B     ,937115,1119.0,1119.0,1119.0,1119.0
0MFL26      ,936492,1325.0,1325.0,1325.0,1325.0
0MFL26A     ,936744,1350.0,1350.0,1350.0,1350.0
0MFL27      ,936944,1150.0,1220.0,1220.0,1150.0
0MHFL24     ,936957,1290.0,1288.0,1290.0,1288.0
0MHFL26     ,936959,1330.0,1330.0,1330.0,1330.0
0SCUF22A    ,936880,1177.7,1174.35,1177.7,1171.0
0SEFL22B    ,935944,697.0,697.0,697.0,697.0
0SEFL23     ,936184,400.0,400.0,400.0,400.0
0STF23      ,936794,1150.0,1156.29,1170.0,1150.0
0STFC2021   ,935142,2105.0,2105.0,2105.0,2105.0
1004JMFPL24 ,936704,1023.0,1023.0,1023.0,1023.0
1005SEFL24  ,936428,312.6,307.0,312.6,307.0
1013DLSL24  ,936758,970.0,974.0,974.0,968.0
1015EFL29   ,936398,982.05,982.0,982.05,982.0
1015STFC21  ,935132,1092.0,1092.0,1092.0,1092.0
1015UPPCL23 ,957804,1025000.0,1025000.0,1025000.0,1025000.0
1015UPPCL26 ,957808,1049850.0,1048000.0,1049850.0,1048000.0
1020EFL22   ,936388,1009.71,1011.01,1011.01,1009.71
1020JMFPL22 ,936700,1105.0,1112.03,1116.8,1100.0
1025KFL22   ,935980,1000.0,1000.0,1000.0,1000.0
1025KFL26B  ,936991,980.0,980.59,985.0,980.0
1025MMFL26  ,937431,987.0,987.0,987.0,987.0
1040DLSL22  ,936498,990.0,987.0,990.0,987.0
1040EFL24   ,936394,984.0,985.0,985.0,984.0
104ECL24    ,936971,972.0,979.95,985.0,972.0
104EFL24    ,936718,1020.0,1038.1,1040.0,1020.0
1050JMFPL24 ,936706,1117.01,1139.59,1140.0,1117.0
1065MHFL24  ,936955,1111.0,1111.0,1111.0,1111.0
1075SEFL24  ,936670,550.0,550.0,550.0,550.0
1090DLSL22  ,936500,991.0,991.0,991.0,991.0
10EHFL26    ,935788,975.0,975.0,975.0,975.0
10GPG       ,543167,3.48,3.48,3.48,3.48
10JMFCSL22  ,936376,1052.0,1050.0,1052.0,1050.0
10KFL23     ,936166,980.0,980.0,980.0,980.0
10KFL24B    ,937281,965.0,965.0,965.0,965.0
10MFL22A    ,936924,1150.15,1150.1,1150.15,1150.1
10MFL24     ,936544,1062.0,1062.0,1062.0,1062.0
10MFL24A    ,936736,1163.0,1163.0,1163.0,1163.0
